id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
98394332@OBS,https://observation.org/observation/98394332,OBS.98394332,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,2,unknown,undetermined,22.85513878,53.02979309,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,3/2/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98394332,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
98326905@OBS,https://observation.org/observation/98326905,OBS.98326905,HumanObservation,Observations,Dendrocoptes medius,species,Animalia,WOODPECKERS_PICIDAE,Animalia|WOODPECKERS_PICIDAE,Middle Spotted Woodpecker,,1,adult,undetermined,23.8331,52.7024,WGS84,,30,Europe,Poland,PL,,Poland - Bia?owie?a,,,,2/27/2015,15:24,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98326905,Stichting Natuurinformatie,CC BY-NC 4.0,2/28/2015
98326904@OBS,https://observation.org/observation/98326904,OBS.98326904,HumanObservation,Observations,Dendrocoptes medius,species,Animalia,WOODPECKERS_PICIDAE,Animalia|WOODPECKERS_PICIDAE,Middle Spotted Woodpecker,,1,adult,undetermined,23.8062,52.7102,WGS84,,10,Europe,Poland,PL,,Poland - Bia?owie?a,,,,2/27/2015,12:57,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98326904,Stichting Natuurinformatie,CC BY-NC 4.0,2/28/2015
98326903@OBS,https://observation.org/observation/98326903,OBS.98326903,HumanObservation,Observations,Dryocopus martius,species,Animalia,WOODPECKERS_PICIDAE,Animalia|WOODPECKERS_PICIDAE,Black Woodpecker,,1,adult,female,23.819,52.7075,WGS84,,50,Europe,Poland,PL,,Poland - Bia?owie?a,,,,2/27/2015,12:04,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98326903,Stichting Natuurinformatie,CC BY-NC 4.0,2/28/2015
98295339@OBS,https://observation.org/observation/98295339,OBS.98295339,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,2,unknown,undetermined,22.79342651,53.10165498,WGS84,,100,Europe,Poland,PL,,Poland - Narwianski NP,,,,2/26/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98295339,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
98284330@OBS,https://observation.org/observation/98284330,OBS.98284330,HumanObservation,Observations,Cygnus cygnus,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Whooper Swan,,5,unknown,undetermined,22.98797607,52.98412437,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,2/20/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98284330,Stichting Natuurinformatie,CC BY-NC 4.0,5/30/2015
98283704@OBS,https://observation.org/observation/98283704,OBS.98283704,HumanObservation,Observations,Capreolus capreolus,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,European Roe Deer,,10,unknown,undetermined,22.96929359,52.98026249,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,2/26/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98283704,Stichting Natuurinformatie,CC BY-NC 4.0,2/26/2015
98283701@OBS,https://observation.org/observation/98283701,OBS.98283701,HumanObservation,Observations,Alces alces,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,Elk,,4,unknown,undetermined,22.97066688,52.98183002,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,2/26/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98283701,Stichting Natuurinformatie,CC BY-NC 4.0,2/26/2015
98280402@OBS,https://observation.org/observation/98280402,OBS.98280402,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,2,adult,undetermined,22.5751,53.2242,WGS84,,50,Europe,Poland,PL,,Poland - Podlaskie,,,,2/24/2015,14:19,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98280402,Stichting Natuurinformatie,CC BY-NC 4.0,2/25/2015
98280401@OBS,https://observation.org/observation/98280401,OBS.98280401,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,2,adult,undetermined,22.8094,53.065,WGS84,,5,Europe,Poland,PL,,Poland - Podlaskie,,,,2/24/2015,13:12,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98280401,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
